Station,Config,RMSE,MAE,Corr,PICP_95,NLML
100,Const_RhoC,0.43217532,0.35456864,0.902283904,74,2713.519963
100,Adap_RhoC,0.436705771,0.358198538,0.902561001,39,2669.583282
100,Const_W_RhoC,0.433388171,0.354398659,0.897844107,82,3263.224501
100,Adap_W_RhoC,0.44186383,0.361703044,0.897363562,57,3225.421475
100,Const_RhoA,0.427924505,0.348006531,0.902459773,71,2702.617263
100,Adap_RhoA,0.442397756,0.36254975,0.896111214,63,2658.962719
102,Const_RhoC,0.197946773,0.160191751,0.975501408,94,2508.502073
102,Adap_RhoC,0.192108521,0.155577043,0.976389183,80,2461.800983
102,Const_W_RhoC,0.220877458,0.18076135,0.970634286,91,3278.350166
102,Adap_W_RhoC,0.21998855,0.179311166,0.970914344,84,3237.000642
102,Const_RhoA,0.274716502,0.214389264,0.949798756,86,2499.138272
102,Adap_RhoA,0.258250017,0.198281088,0.956271468,88,2454.512234
110,Const_RhoC,0.283299051,0.225959035,0.930652722,100,2790.611057
110,Adap_RhoC,0.282475146,0.226652931,0.93075058,42,2743.853717
110,Const_W_RhoC,0.278540544,0.221764295,0.929636916,99,3311.741986
110,Adap_W_RhoC,0.283403601,0.227459915,0.928887243,67,3269.480245
110,Const_RhoA,0.283688962,0.227022171,0.926819336,100,2795.319532
110,Adap_RhoA,0.306720036,0.249699906,0.922312294,74,2748.91449
114,Const_RhoC,0.267249507,0.201871044,0.955929238,91,2814.229186
114,Adap_RhoC,0.266178874,0.201626122,0.955759867,39,2762.128726
114,Const_W_RhoC,0.259706265,0.189360402,0.959924183,93,3337.422072
114,Adap_W_RhoC,0.259000304,0.193587771,0.958379017,81,3286.451511
114,Const_RhoA,0.276944293,0.217380263,0.957648378,93,2824.029929
114,Adap_RhoA,0.282002047,0.219433176,0.952678313,83,2771.741497
134,Const_RhoC,0.343911919,0.282660036,0.895065941,53,2681.583407
134,Adap_RhoC,0.346047691,0.284615256,0.894732623,13,2616.103524
134,Const_W_RhoC,0.355517675,0.296523501,0.886420609,68,3224.681349
134,Adap_W_RhoC,0.357467372,0.298485451,0.886626547,20,3157.302306
134,Const_RhoA,0.363268313,0.295747974,0.874527139,62,2683.30669
134,Adap_RhoA,0.367270334,0.299249984,0.872635488,61,2616.411074
136,Const_RhoC,0.120926316,0.093350475,0.992905083,89,2885.212786
136,Adap_RhoC,0.122905775,0.09555683,0.992769367,67,2833.402197
136,Const_W_RhoC,0.122388269,0.088398786,0.991803298,96,3388.272455
136,Adap_W_RhoC,0.126228725,0.094684187,0.991822277,92,3339.498953
136,Const_RhoA,0.244398541,0.182797039,0.962518715,93,2892.772616
136,Adap_RhoA,0.212941563,0.159330082,0.975146648,91,2839.631525
137,Const_RhoC,0.179946535,0.135127944,0.979801607,93,2859.752798
137,Adap_RhoC,0.178499751,0.134379817,0.980022541,58,2803.723204
137,Const_W_RhoC,0.211201593,0.173589695,0.972924057,95,3352.709654
137,Adap_W_RhoC,0.211038258,0.173514062,0.973156001,94,3296.308169
137,Const_RhoA,0.242859417,0.201234737,0.962393956,97,2853.809112
137,Adap_RhoA,0.260778333,0.21400363,0.955447326,97,2798.866109
150,Const_RhoC,0.111292556,0.072588925,0.99403069,99,2855.762213
150,Adap_RhoC,0.109097733,0.070930423,0.994072668,96,2810.637105
150,Const_W_RhoC,0.124814182,0.084932887,0.991225498,97,3367.053269
150,Adap_W_RhoC,0.124971135,0.08555216,0.991373185,94,3329.674544
150,Const_RhoA,0.238503165,0.192243527,0.968951499,92,2852.03284
150,Adap_RhoA,0.258701296,0.208135233,0.965014052,88,2806.682251
166,Const_RhoC,0.091350369,0.067268481,0.991810261,100,2871.514374
166,Adap_RhoC,0.092520471,0.067572428,0.991772914,95,2816.260904
166,Const_W_RhoC,0.096307462,0.072119592,0.991583576,100,3386.801163
166,Adap_W_RhoC,0.099017099,0.074761559,0.991548222,100,3335.436597
166,Const_RhoA,0.121459653,0.090839864,0.984834171,100,2876.495245
166,Adap_RhoA,0.116974763,0.088672954,0.986253338,98,2817.233593
214,Const_RhoC,0.126203095,0.0920463,0.985698223,99,2866.246738
214,Adap_RhoC,0.127502376,0.092748088,0.985736641,86,2813.028953
214,Const_W_RhoC,0.128511539,0.095110098,0.984665038,100,3376.306999
214,Adap_W_RhoC,0.139441614,0.101055484,0.983484947,96,3327.014649
214,Const_RhoA,0.201159906,0.161212387,0.989104311,99,2870.288237
214,Adap_RhoA,0.281893744,0.223553053,0.956839054,97,2805.004619
525,Const_RhoC,0.479988728,0.367739381,0.937938428,91,2723.00996
525,Adap_RhoC,0.480311662,0.367731335,0.937673173,29,2680.902024
525,Const_W_RhoC,0.521932063,0.396363138,0.938372991,93,3281.800236
525,Adap_W_RhoC,0.51871167,0.389596497,0.935596667,59,3246.342097
525,Const_RhoA,0.536113444,0.428241023,0.909578911,84,2718.477893
525,Adap_RhoA,0.670627695,0.500066668,0.805523178,87,2660.20514
629,Const_RhoC,0.239619051,0.187138149,0.954505082,86,2791.664282
629,Adap_RhoC,0.239485167,0.186884621,0.954563926,36,2754.194087
629,Const_W_RhoC,0.227892548,0.173039552,0.957368016,89,3306.420717
629,Adap_W_RhoC,0.229409826,0.174416768,0.956762947,77,3272.93242
629,Const_RhoA,0.284829559,0.224769929,0.941893074,82,2801.900089
629,Adap_RhoA,0.283216425,0.223490404,0.942117625,82,2761.567668
677,Const_RhoC,0.122232388,0.084077406,0.991780066,96,2860.572615
677,Adap_RhoC,0.121867408,0.084577055,0.991817595,92,2784.071388
677,Const_W_RhoC,0.130367391,0.086709967,0.990909447,92,3355.235243
677,Adap_W_RhoC,0.130583666,0.087290118,0.990917825,89,3275.894113
677,Const_RhoA,0.236942909,0.19506356,0.965631999,97,2856.155449
677,Adap_RhoA,0.261938156,0.21614667,0.957013709,95,2778.068945
856,Const_RhoC,0.596042211,0.479676235,0.47750596,94,2670.67721
856,Adap_RhoC,0.768355697,0.614511198,0.466699766,16,2621.985559
856,Const_W_RhoC,0.619174295,0.512298475,0.494766349,90,3215.802025
856,Adap_W_RhoC,0.73005276,0.603927603,0.49356149,45,3181.408391
856,Const_RhoA,0.608688311,0.501717762,0.548816562,91,2677.191342
856,Adap_RhoA,0.661121402,0.547997231,0.538552949,55,2636.772542
900,Const_RhoC,0.418437118,0.339186758,0.822904207,56,2638.245748
900,Adap_RhoC,0.419581289,0.340058591,0.822803366,15,2588.359668
900,Const_W_RhoC,0.418935208,0.336476661,0.810413873,65,3191.92379
