ConditionLabel,Conditioning,m,GroupCount,mean_relErr_alpha,std_relErr_alpha,mean_relErr_logdet,std_relErr_logdet,mean_relErr_quad,std_relErr_quad,mean_RMSE,std_RMSE,n_rep
Corr,Corr,10,19,0.413095418403903,0.055039839710987,3.64379735821377,5.27954936825202,0.0273405604486794,0.0216887564109621,1.20253422005262,0.159904677734306,19
Corr,Corr,20,19,0.24641988812224,0.0299689010909317,0.305770264664866,0.440629991439879,0.0430485194226491,0.0286006388955391,1.14409217712411,0.138986652013911,19
Corr,Corr,30,19,0.186082048261363,0.0301261927521634,0.0785243674596834,0.102908069709564,0.0252100459656167,0.0143999059791727,1.11439267394377,0.144012840486983,19
Corr,Corr,40,19,0.136811557260728,0.0257018471736921,0.0703819698844457,0.117853514902402,0.0190220067746824,0.0142875709906954,1.1127243131749,0.134195714473989,19
Corr,Corr,60,19,0.0769924232659463,0.0163050460733045,0.101079490439972,0.151703948669861,0.00746121328106439,0.00625207813145919,1.05718559484861,0.110964911881603,19
Nearest-Neighbor,MinMax,10,19,0.342653121933015,0.0536607039135563,2.66329837169673,3.96232343672561,0.0460683911640953,0.0368331132821209,1.21136939660023,0.144009678509908,19
Nearest-Neighbor,MinMax,20,19,0.272018157711651,0.0402682658444744,1.53080723170861,2.2812699622491,0.0490049789398333,0.0240272063488379,1.21637043232808,0.156217569857854,19
Nearest-Neighbor,MinMax,30,19,0.206932618222928,0.0296570514437811,0.726900660387907,1.09211720507958,0.031641323850752,0.0203561579425207,1.1709413196849,0.147013985386673,19
Nearest-Neighbor,MinMax,40,19,0.179076846156926,0.0265750694502974,0.477489983138359,0.692901644954024,0.0246611892614574,0.0162777055069824,1.15916531191249,0.166977573222957,19
Nearest-Neighbor,MinMax,60,19,0.105334709227933,0.0170744443571762,0.0144198672293571,0.0185398843774722,0.0119396424677011,0.00988414022308045,1.07839808560472,0.107051053739317,19
