NeighbourSelection,m,n_rep,MeanRelKinvy_SD,MeanRelLogdet_SD,MeanRelQuad_SD,MeanRMSE
Corr,10,19,0.413 (0.055),3.6438 (5.280),0.0273 (0.0217),1.203
Corr,20,19,0.246 (0.030),0.3058 (0.441),0.0430 (0.0286),1.144
Corr,30,19,0.186 (0.030),0.0785 (0.103),0.0252 (0.0144),1.114
Corr,40,19,0.137 (0.026),0.0704 (0.118),0.0190 (0.0143),1.113
Corr,60,19,0.077 (0.016),0.1011 (0.152),0.0075 (0.0063),1.057
Nearest-Neighbor,10,19,0.343 (0.054),2.6633 (3.962),0.0461 (0.0368),1.211
Nearest-Neighbor,20,19,0.272 (0.040),1.5308 (2.281),0.0490 (0.0240),1.216
Nearest-Neighbor,30,19,0.207 (0.030),0.7269 (1.092),0.0316 (0.0204),1.171
Nearest-Neighbor,40,19,0.179 (0.027),0.4775 (0.693),0.0247 (0.0163),1.159
Nearest-Neighbor,60,19,0.105 (0.017),0.0144 (0.019),0.0119 (0.0099),1.078
