ConditionLabel,Conditioning,m,GroupCount,mean_relErr_alpha,std_relErr_alpha,mean_relErr_logdet,std_relErr_logdet,mean_relErr_quad,std_relErr_quad,mean_RMSE,std_RMSE,n_rep
Corr,Corr,10,19,0.302697939434854,0.0418339797513247,2.4779667519981,3.92083772190222,0.0196295671806484,0.0153652533294409,NaN,NaN,19
Corr,Corr,20,19,0.197379225853879,0.0345381267997966,0.943447005535604,1.45444659674081,0.013490466893417,0.00772093032047572,NaN,NaN,19
Corr,Corr,30,19,0.141407860204291,0.030984109834936,0.495354795515738,0.777120120605527,0.0104862842411957,0.00715885507126407,NaN,NaN,19
Corr,Corr,40,19,0.10853854777525,0.0281115777252089,0.289838729787035,0.460411027405211,0.00606241391994621,0.00464679668857215,NaN,NaN,19
Corr,Corr,60,19,0.0702889701868391,0.0281185229494954,0.116565453078306,0.176773163332749,0.00555102401363137,0.00491392261847694,NaN,NaN,19
Nearest-Neighbor,MinMax,10,19,0.368019238567806,0.0527061609033007,4.57169171317076,7.41161340450396,0.0307671533574227,0.0192341615354424,NaN,NaN,19
Nearest-Neighbor,MinMax,20,19,0.289143813641359,0.044925117788587,2.80513958146205,4.50426373934639,0.0219046097189485,0.0164630163970428,NaN,NaN,19
Nearest-Neighbor,MinMax,30,19,0.218022864378309,0.0359861724462038,1.39951964560944,2.23409265652296,0.0167666364642542,0.0113121636151356,NaN,NaN,19
Nearest-Neighbor,MinMax,40,19,0.173210976097039,0.0284725849620802,0.972160255805179,1.55120626011072,0.0112716446529632,0.0113057129185095,NaN,NaN,19
Nearest-Neighbor,MinMax,60,19,0.121053456890995,0.0285772032999922,0.411238384005375,0.714049688819553,0.010477119995536,0.00569641798833632,NaN,NaN,19
